longitude,latitude,
-34.9178097,-8.0265962,
-34.9269748,-8.1079113,
-34.9542421,-8.0320076,
-34.9196577,-8.1111323,
-34.8826754,-8.0664744,
-34.898023,-8.1253516,
-34.8702943,-8.0381002,
-34.9211115,-8.0505772,
-34.888583,-8.0871655,
-34.8948795,-8.0493582,
-34.876399,-8.0341164,
-34.8921758,-8.0314631,
-34.9049512,-8.1156876,
-34.9147439,-8.1226751,
-34.9094009,-8.0948545,
-34.8788533,-8.053557,
-34.8933962,-8.0756469,
-34.8728827,-8.0417945,
-34.8965049,-8.0336064,
-34.8821336,-8.0281034,
-34.9213904,-8.1121998,
-34.9306387,-8.0229854,
-34.8949438,-8.0667413,
-34.9073249,-8.1147967,
-34.9094532,-8.0569404,
-34.9064505,-8.0459057,
-34.8934847,-8.0252138,
-34.9408284,-8.1161589,
-34.9556395,-8.113793,
-34.9141753,-8.1081769,
-34.9063566,-8.0596851,
-34.8937798,-8.1166262,
-34.8979935,-8.0526301,
-34.9329937,-8.0886911,
-34.9089557,-8.0535703,
-34.8911351,-8.0276652,
-34.9240364,-7.99885,
-34.9437654,-8.0724443,
-34.8946528,-8.1117085,
-34.8851055,-8.0923371,
-34.9092373,-8.0571077,
-34.9251616,-8.058571,
-34.880594,-8.0525531,
-34.9145347,-8.1230415,
-34.9209371,-8.0074132,
-34.9069481,-7.9998182,
-34.9183917,-8.075084,
-34.9099642,-8.0382648,
-34.9070808,-8.0574954,
-34.9621493,-8.0238884,
-34.8939849,-8.019206,
-34.929834,-8.0889779,
-34.8875839,-8.0210227,
-34.8981893,-8.0591181,
-34.9049914,-8.0809528,
-34.9181208,-8.0379302,
-34.9033123,-8.0581726,
-34.9081014,-8.0710567,
-34.9452728,-8.0888239,
-34.8976985,-8.0565712,
-34.9119329,-8.0240345,
-34.9105382,-8.1027704,
-34.9030501,-8.1355444,
-34.8899603,-8.0526885,
-34.9070486,-8.1252135,
-34.9200077,-8.0365292,
-34.9106991,-8.0429444,
-34.8949787,-8.0522663,
-34.9132204,-8.0805757,
-34.9043262,-8.1113049,
-34.8828954,-8.0296279,
-34.8938227,-8.1180389,
-34.9241853,-8.0827161,
-34.9084648,-8.0691592,
-34.9318027,-8.0624165,
-34.9332297,-8.0213679,
-34.8950619,-8.0511482,
-34.9123782,-8.0670055,
-34.9029851,-8.0614498,
-34.9068958,-8.0551664,
-34.8815569,-8.0539195,
-34.9645525,-8.0816167,
-34.8975831,-8.0588419,
-34.9455357,-8.0370378,
-34.9331439,-8.0888929,
-34.9266087,-8.0197876,
-34.9106348,-8.0909855,
-34.9121904,-8.0979428,
-34.8895365,-8.0223586,
-34.8970588,-8.0040586,
-34.9596334,-8.016619,
-34.8796874,-8.0467794,
-34.8981504,-8.1177017,
-34.9055091,-8.1336333,
-34.9261795,-8.0546618,
-34.9432772,-8.0736127,
-34.9104631,-8.0244276,
-34.9070996,-8.0576256,
-34.9167207,-8.0529515,
-34.9437654,-8.1204366,
-34.9335864,-8.0433826,
-34.9165705,-8.1335749,
-34.875868,-8.0705216,
-34.9345332,-8.0634363,
-34.9433577,-8.0931524,
-34.8945415,-8.1140293,
-34.8940346,-8.1183788,
-34.9363223,-8.0918804,
-34.9093071,-8.0951705,
-34.8937905,-8.1123352,
-34.8923957,-8.0752831,
-34.9099535,-8.0970692,
-34.9086392,-8.0619172,
-34.8995881,-8.1312675,
-34.9094707,-8.0802995,
-34.9012041,-8.1321597,
-34.897162,-8.1252427,
-34.919875,-8.0480516,
-34.9234155,-8.1143559,
-34.8925593,-8.042323,
-34.9005014,-8.1153782,
-34.8870742,-8.0848937,
-34.8823535,-8.0720247,
-34.8991174,-8.1249055,
-34.881915,-8.0292787,
-34.8979318,-8.1251179,
-34.9218437,-8.0339411,
-34.9095914,-8.1418167,
-34.9116057,-8.0281565,
-34.9083495,-8.0900348,
-34.9077702,-8.1437629,
-34.9146581,-8.1230149,
-34.9131124,-8.126812,
