Peso;Nome
2;Rua Falcao de Lacerda
1;287
4;Avenida Afonso Olindense
1;Rua Onze de Agosto
36;Avenida Governador Agamenon Magalhaes
5;Viaduto Capitao Temudo
3;Avenida Presidente Dutra
30;PE-008
5;Avenida Joao de Barros
1;Avenida Hildebrando de Vasconcelos
42;Avenida Norte Miguel Arraes de Alencar
7;Avenida Conde da Boa Vista
7;Avenida Conde da Boa Vista
16;Avenida Sul Governador Cid Sampaio
10;PE-005
30;Avenida Caxanga
2;Rua Motocolombo
1;Avenida Anibal Benevolo
42;Avenida Norte Miguel Arraes de Alencar
39;Avenida Beberibe
14;Estrada de Belem
8;Rua Arquiteto Luiz Nunes
5;Rua Doutor Alvaro Ferraz
16;Avenida Dois Rios
25;Avenida Engenheiro Abdias de Carvalho
39;Avenida Beberibe
3;Rua Itacari
2;Avenida Manoel Goncalves da Luz
1;5
1;Penedo
8;Rua Antonio Falcao
3;Rua Ribeiro de Brito
3;Avenida Visconde de Albuquerque
7;PE-009
2;2820
16;Avenida Dois Rios
6;Rua Uriel de Holanda
1;Rua Joaquim de Brito
11;Avenida Boa Viagem
1;1817
39;Avenida Beberibe
16;Avenida Sul Governador Cid Sampaio
1;Rua Manoel Corte Real
2;Avenida Dantas Barreto
1;Rua da Custodia
3;Cais do Apolo
1;Rua Japaranduba
16;Avenida Dezessete de Agosto
33;Avenida Recife
9;Estrada dos Remedios
36;Avenida Governador Agamenon Magalhaes
12;Rua Vinte e Um de Abril
1;Rua Cabo Eutropio
30;Avenida Caxanga
16;Avenida Sul Governador Cid Sampaio
1;167
3;Rua Baltazar Passos
4;Estrada Velha de Agua Fria
39;Avenida Beberibe
6;Avenida Professor Jose dos Anjos
16;Avenida Sul Governador Cid Sampaio
7;Rua Treze de Maio
36;Avenida Governador Agamenon Magalhaes
2;Avenida Herculano Bandeira
1;148
9;Estrada dos Remedios
5;Rua Doutor Alvaro Ferraz
4;Rua Sargento Silvino de Macedo
4;Avenida Vereador Otacilio Azevedo
3;29
2;Rua do Paissandu
2;324
39;Avenida Beberibe
42;Avenida Norte Miguel Arraes de Alencar
6;Rua Joao Ivo da Silva
26;PE-007
4;Estrada do Forte do Arraial Novo do Bom Jesus
16;Avenida Dois Rios
25;Avenida Engenheiro Abdias de Carvalho
8;Rua Gomes Taborda
1;Avenida Dona Carentina
30;Avenida Caxanga
30;PE-008
1;Avenida Rio Sao Francisco
3;118
1;875
16;Avenida Dois Rios
2;Rua Jamaica
1;Rua Professor Antonio Coelho
1;Rua Dezesseis de Outubro
1;Rua Divisopolis
1;Avenida Martins de Barros
16;Avenida Dois Rios
1;219
5;Rua Doutor Alvaro Ferraz
5;Avenida Maria Irene
30;Avenida Caxanga
26;PE-007
1;603
16;Avenida Dezessete de Agosto
4;Estrada do Forte do Arraial Novo do Bom Jesus
3;Rua Rio Xingu
7;Avenida Liberdade
36;Avenida Governador Agamenon Magalhaes
2;Rua Aurora Cacote
30;Avenida Caxanga
6;Rua da Harmonia
9;Estrada dos Remedios
19;Avenida Cruz Cabuga
3;Rua Pintor Antonio de Albuquerque
33;Avenida Recife
2;3530
30;PE-008
2;Rua Armindo Moura
1;Rua Gervasio Campelo
26;PE-007
6;Avenida Professor Jose dos Anjos
3;Avenida Engenho Serra Verde
1;Rua Joaquim Felipe
36;Avenida Governador Agamenon Magalhaes
3;Avenida Professor Estevao Francisco da Costa
1;Rua Padre Roma
1;230
39;Avenida Beberibe
7;PE-009
4;Avenida Rui Barbosa
42;Avenida Norte Miguel Arraes de Alencar
8;Rua Antonio Falcao
6;Rua da Harmonia
3;Avenida Sao Paulo
2;Rua Quiterio Inacio de Melo
1;Rua do Principe
5;Viaduto Capitao Temudo
7;Rua Treze de Maio
1;Avenida dos Reitores
7;Rua Treze de Maio
42;Avenida Norte Miguel Arraes de Alencar
1;Rua Lindolfo Color
39;Avenida Beberibe
1;239
6;Rua Uriel de Holanda
7;Rua Conego Barata
3;Avenida Sao Paulo
42;Avenida Norte Miguel Arraes de Alencar
30;Avenida Caxanga
16;Avenida Sul Governador Cid Sampaio
6;Rua Joao Ivo da Silva
5;Rua Jean Emile Favre
3;Rua do Hospicio
2;Rua Missionario Joel Carlson
1;Rua Couto Magalhaes
2;Rua Barao de Agua Branca
5;Rua Odorico Mendes
5;Rua Odorico Mendes
4;Estrada do Forte do Arraial Novo do Bom Jesus
5;Rua Dom Bosco
6;Rua Jose Bonifacio
6;Rua Uriel de Holanda
2;Ladeira da Cohab
3;Rua Manoel de Brito
1;Avenida Doutor Eurico Chaves
39;Avenida Beberibe
3;Rua dos Coelhos
2;Avenida Dantas Barreto
2;1058
1;Rua Maestro Jones Johnsson
2;Rua Professor Mario de Castro
2;Rua Maria Amalia
8;Rua Gomes Taborda
1;Avenida Joao Cabral de Melo Neto
42;Avenida Norte Miguel Arraes de Alencar
30;Avenida Caxanga
1;Praca Parque Amorim
30;Avenida Caxanga
6;Rua Joao Ivo da Silva
10;PE-005
33;Avenida Recife
1;Rua Itainopolis
16;Avenida Dezessete de Agosto
1;Rua Resplendor
25;Avenida Engenheiro Abdias de Carvalho
7;PE-009
6;Rua Jose Bonifacio
8;Rua Visconde de Jequitinhonha
14;Estrada de Belem
3;Rua Ribeiro de Brito
4;Avenida Mario Melo
2;Avenida Capibaribe-Rio
1;Rua Madre de Deus
7;PE-009
8;Rua Visconde de Jequitinhonha
30;PE-008
42;Avenida Norte Miguel Arraes de Alencar
1;Rua General Candido Borges Castelo Branco
25;Avenida Engenheiro Abdias de Carvalho
3;Rua Real da Torre
33;Avenida Recife
1;Rua Senador Jose Henrique
5;Viaduto Capitao Temudo
39;Avenida Beberibe
1;Rua Jaticy
33;Avenida Recife
13;Avenida General San Martin
39;Avenida Beberibe
6;Rua da Harmonia
2;Rua Motocolombo
1;Rua Coronel Urbano Ribeiro de Sena
8;Rua Antonio Falcao
1;Rua das Criancas
33;Avenida Recife
1;418
3;Cais Santa Rita
30;PE-008
9;Avenida Antonio de Goes
26;PE-007
3;Rua Professor Jose Brandao
13;Avenida Domingos Ferreira
1;175
6;Rua Leandro Barreto
4;Rua Sao Bento
1;Rua Goncalves de Magalhaes
3;Avenida Conselheiro Rosa e Silva
3;317
1;Estrada dos Pintos
1;Ponte do Motolombo
20;Avenida Doutor Jose Rufino
9;Avenida Antonio de Goes
1;226
42;Avenida Norte Miguel Arraes de Alencar
16;Avenida Dois Rios
33;Avenida Recife
3;Avenida Luis Correa de Brito
5;Avenida Beira Rio
1;Rua Xavantes
8;Rua Antonio Falcao
1;44
2;Rua da Hora
1;Viaduto das Cinco Pontas
7;Avenida Liberdade
2;Viaduto Papa Joao Paulo II
11;Avenida Boa Viagem
10;Rua Benfica
1;700
3;Avenida Dom Helder Camara
1;Rua Pedro Afonso
20;Avenida Doutor Jose Rufino
42;Avenida Norte Miguel Arraes de Alencar
2;Rua Franklin Tavora
1;660
2;Rua Dona Elvira
42;Avenida Norte Miguel Arraes de Alencar
3;Rua Rio Xingu
6;Rua da Harmonia
1;3953
7;Avenida Conde da Boa Vista
9;Avenida Antonio de Goes
2;Rua dos Palmares
2;Rua Princesa Isabel
7;PE-009
2;3530
2;Rua Ernesto de Paula Santos
1;Rua Dom Manoel da Costa
2;Rua Barao de Agua Branca
33;Avenida Recife
2;Rua Armindo Moura
5;Rua Sao Miguel
4;Avenida Rui Barbosa
39;Avenida Beberibe
16;Avenida Dois Rios
2;Rua Maria Amalia
7;Rua Padre Lemos
2;Rua Souza Bandeira
33;Avenida Recife
19;Avenida Cruz Cabuga
8;Rua Visconde de Jequitinhonha
16;Avenida Dois Rios
1;Rua Tenente Joao Cicero
1;1555
33;Avenida Recife
42;Avenida Norte Miguel Arraes de Alencar
11;Avenida Boa Viagem
1;Rua Vinte e Quatro de Junho
1;120
3;Avenida Conselheiro Rosa e Silva
8;Rua Arquiteto Luiz Nunes
30;Avenida Caxanga
1;852
4;Rua Jose Osorio
3;Avenida Dom Helder Camara
2;Rua Bomba do Hemeterio
12;Rua Vinte e Um de Abril
8;Rua Visconde de Jequitinhonha
1;Rua Nova Canaa
7;Rua Conego Barata
4;Avenida Mauricio de Nassau
26;PE-007
3;Rua Cosme Viana
30;PE-008
1;Avenida Inacio Monteiro
1;242
5;Rua Jean Emile Favre
5;Avenida Maria Irene
1;Rua 11
42;Avenida Norte Miguel Arraes de Alencar
2;Avenida Capibaribe-Rio
2;Rua Rio Tapado
10;PE-005
6;Rua Leandro Barreto
13;Avenida Domingos Ferreira
5;Avenida Beira Rio
4;Rua Jose Osorio
2;Rua Clara
9;Estrada dos Remedios
10;Rua Benfica
3;Rua Marques de Marica
7;Rua Treze de Maio
1;Rua da Santa Cruz
2;Estrada do Barbalho
42;Avenida Norte Miguel Arraes de Alencar
13;Avenida General San Martin
16;Avenida Sul Governador Cid Sampaio
2;Rua Bomba do Hemeterio
13;Avenida General San Martin
36;Avenida Governador Agamenon Magalhaes
3;PE-001
33;Avenida Recife
1;115
7;Rua Conego Barata
1;Rua Uberaba
19;Avenida Cruz Cabuga
30;Avenida Caxanga
25;Avenida Engenheiro Abdias de Carvalho
36;Avenida Governador Agamenon Magalhaes
42;Avenida Norte Miguel Arraes de Alencar
8;Rua Arquiteto Luiz Nunes
1;923
4;Rua Ribeiro Pessoa
1;350
3;Rua Marques de Marica
30;Avenida Caxanga
30;Avenida Caxanga
8;Rua Visconde de Jequitinhonha
3;Rua Baltazar Passos
5;Avenida Conselheiro Aguiar
16;Avenida Sul Governador Cid Sampaio
25;Avenida Engenheiro Abdias de Carvalho
36;Avenida Governador Agamenon Magalhaes
6;Rua Imperial
5;Rua Odorico Mendes
1;Rua da Amizade
4;Estrada Velha de Agua Fria
1;Rua Visconde de Araguaya
2;Viaduto Papa Joao Paulo II
1;Rua Gervasio Pires
1;Travessa Padre Azevedo
1;Rua Jaguari
1;Rua Dois Irmaos
2;Rua da Hora
2;Rua da Regeneracao
11;Avenida Boa Viagem
26;PE-007
5;Viaduto Capitao Temudo
5;Rua Barao de Souza Leao
42;Avenida Norte Miguel Arraes de Alencar
10;Rua Benfica
12;Rua Vinte e Um de Abril
1;Rua Jornalista Edmundo Bitencourt
16;Avenida Sul Governador Cid Sampaio
8;Rua Gomes Taborda
1;Rua Santos Araujo
1;Rua Coronel Benedito Chaves
4;Avenida Central
2;1058
2;102
8;Rua Arquiteto Luiz Nunes
8;Rua Arquiteto Luiz Nunes
5;Rua Odorico Mendes
